Id,elementId,Day,Hour,Action
1,6,1,720,1
2,3,1,725,1
3,1,1,1900,1
4,2,1,1910,30
5,2,1,2300,0
6,3,1,2303,0
7,1,1,2310,0
8,4,1,2311,1
9,6,1,2315,0
10,4,1,2330,0
11,6,2,720,1
12,3,2,725,1
13,1,2,1900,1
14,2,2,1910,30
15,2,2,2300,0
16,3,2,2303,0
17,1,2,2310,0
18,4,2,2311,1
19,6,2,2315,0
20,4,2,2330,0
21,6,3,720,1
22,3,3,725,1
23,1,3,1900,1
24,2,3,1910,30
25,2,3,2300,0
26,3,3,2303,0
27,1,3,2310,0
28,4,3,2311,1
29,6,3,2315,0
30,4,3,2330,0
31,6,4,720,1
32,3,4,725,1
33,1,4,1800,1
34,2,4,1810,30
35,2,4,2300,0
36,3,4,2303,0
37,1,4,2310,0
38,4,4,2311,1
39,6,4,2315,0
40,4,4,2330,0
41,6,5,720,1
42,3,5,725,1
43,1,5,1700,1
44,2,5,1710,30
45,2,5,2300,0
46,3,5,2303,0
47,1,5,2310,0
48,4,5,2311,1
49,6,5,2315,0
50,4,5,2330,0
51,6,6,1000,1
52,3,6,1005,1
53,1,6,1007,1
54,2,6,1010,30
55,2,6,1800,0
56,3,6,2330,0
57,1,6,2335,0
58,6,6,2340,0
59,6,7,1100,1
60,3,7,1105,1
61,1,7,1900,1
62,3,7,2300,0
63,1,7,2303,0
64,4,7,2305,1
65,6,7,2315,0
66,4,7,2330,0
67,6,1,720,1
68,3,1,725,1
69,1,1,1900,1
70,2,1,1910,30
71,2,1,2300,0
72,3,1,2303,0
73,1,1,2310,0
74,4,1,2311,1
75,6,1,2315,0
76,4,1,2330,0
77,6,2,720,1
78,3,2,725,1
79,1,2,1900,1
80,2,2,1910,30
81,2,2,2300,0
82,3,2,2303,0
83,1,2,2310,0
84,4,2,2311,1
85,6,2,2315,0
86,4,2,2330,0
87,6,3,720,1
88,3,3,725,1
89,1,3,1900,1
90,2,3,1910,30
91,2,3,2300,0
92,3,3,2303,0
93,1,3,2310,0
94,4,3,2311,1
95,6,3,2315,0
96,4,3,2330,0
97,6,4,720,1
98,3,4,725,1
99,1,4,1800,1
100,2,4,1810,30
101,2,4,2300,0
102,3,4,2303,0
103,1,4,2310,0
104,4,4,2311,1
105,6,4,2315,0
106,4,4,2330,0
107,6,5,720,1
108,3,5,725,1
109,1,5,1700,1
110,2,5,1710,30
111,2,5,2300,0
112,3,5,2303,0
113,1,5,2310,0
114,4,5,2311,1
115,6,5,2315,0
116,4,5,2330,0
117,6,6,1000,1
118,3,6,1005,1
119,1,6,1007,1
120,2,6,1010,30
121,2,6,1800,0
122,3,6,2330,0
123,1,6,2335,0
124,6,6,2340,0
125,6,7,1100,1
126,3,7,1105,1
127,1,7,1900,1
128,3,7,2300,0
129,1,7,2303,0
130,4,7,2305,1
131,6,7,2315,0
132,4,7,2330,0
133,6,1,720,1
134,3,1,725,1
135,1,1,1900,1
136,2,1,1910,30
137,2,1,2300,0
138,3,1,2303,0
139,1,1,2310,0
140,4,1,2311,1
141,6,1,2315,0
142,4,1,2330,0
143,6,2,720,1
144,3,2,725,1
145,1,2,1900,1
146,2,2,1910,30
147,2,2,2300,0
148,3,2,2303,0
149,1,2,2310,0
150,4,2,2311,1
151,6,2,2315,0
152,4,2,2330,0
153,6,3,720,1
154,3,3,725,1
155,1,3,1900,1
156,2,3,1910,30
157,2,3,2300,0
158,3,3,2303,0
159,1,3,2310,0
160,4,3,2311,1
161,6,3,2315,0
162,4,3,2330,0
163,6,4,720,1
164,3,4,725,1
165,1,4,1800,1
166,2,4,1810,28
167,2,4,2300,0
168,3,4,2303,0
169,1,4,2310,0
170,4,4,2311,1
171,6,4,2315,0
172,4,4,2330,0
173,6,5,720,1
174,3,5,725,1
175,1,5,1700,1
176,2,5,1710,28
177,2,5,2300,0
178,3,5,2303,0
179,1,5,2310,0
180,4,5,2311,1
181,6,5,2315,0
182,4,5,2330,0
183,6,6,1000,1
184,3,6,1005,1
185,1,6,1007,1
186,2,6,1010,28
187,2,6,1800,0
188,3,6,2330,0
189,1,6,2335,0
190,6,6,2340,0
191,6,7,1100,1
192,3,7,1105,1
193,1,7,1900,1
194,3,7,2300,0
195,1,7,2303,0
196,4,7,2305,1
197,6,7,2315,0
198,4,7,2330,0
199,6,1,720,1
200,3,1,725,1
201,1,1,1900,1
202,2,1,1910,28
203,2,1,2300,0
204,3,1,2303,0
205,1,1,2310,0
206,4,1,2311,1
207,6,1,2315,0
208,4,1,2330,0
209,6,2,720,1
210,3,2,725,1
211,1,2,1900,1
212,2,2,1910,28
213,2,2,2300,0
214,3,2,2303,0
215,1,2,2310,0
216,4,2,2311,1
217,6,2,2315,0
218,4,2,2330,0
219,6,3,720,1
220,3,3,725,1
221,1,3,1900,1
222,2,3,1910,28
223,2,3,2300,0
224,3,3,2303,0
225,1,3,2310,0
226,4,3,2311,1
227,6,3,2315,0
228,4,3,2330,0
229,6,4,720,1
230,3,4,725,1
231,1,4,1800,1
232,2,4,1810,28
233,2,4,2300,0
234,3,4,2303,0
235,1,4,2310,0
236,4,4,2311,1
237,6,4,2315,0
238,4,4,2330,0
239,6,5,720,1
240,3,5,725,1
241,1,5,1700,1
242,2,5,1710,28
243,2,5,2300,0
244,3,5,2303,0
245,1,5,2310,0
246,4,5,2311,1
247,6,5,2315,0
248,4,5,2330,0
249,6,6,1000,1
250,3,6,1005,1
251,1,6,1007,1
252,2,6,1010,28
253,2,6,1800,0
254,3,6,2330,0
255,1,6,2335,0
256,6,6,2340,0
257,6,7,1100,1
258,3,7,1105,1
259,1,7,1900,1
260,3,7,2300,0
261,1,7,2303,0
262,4,7,2305,1
263,6,7,2315,0
264,4,7,2330,0
