elementId,Day,Hour,Action
1,1.0,1900.0,1.0
1,1.0,2310.0,0.0
1,2.0,1900.0,1.0
1,2.0,2310.0,0.0
1,3.0,2310.0,0.0
1,3.0,1900.0,1.0
1,4.0,2310.0,0.0
1,4.0,1800.0,1.0
1,5.0,1700.0,1.0
1,5.0,2310.0,0.0
1,6.0,1007.0,1.0
1,6.0,2335.0,0.0
1,7.0,1900.0,1.0
1,7.0,2303.0,0.0
2,1.0,1910.0,29.5
2,1.0,2300.0,0.0
2,2.0,1910.0,29.5
2,2.0,2300.0,0.0
2,3.0,1910.0,29.5
2,3.0,2300.0,0.0
2,4.0,1810.0,29.0
2,4.0,2300.0,0.0
2,5.0,2300.0,0.0
2,5.0,1710.0,29.0
2,6.0,1800.0,0.0
2,6.0,1010.0,29.0
3,1.0,2303.0,0.0
3,1.0,725.0,1.0
3,2.0,725.0,1.0
3,2.0,2303.0,0.0
3,3.0,2303.0,0.0
3,3.0,725.0,1.0
3,4.0,725.0,1.0
3,4.0,2303.0,0.0
3,5.0,725.0,1.0
3,5.0,2303.0,0.0
3,6.0,1005.0,1.0
3,6.0,2330.0,0.0
3,7.0,2300.0,0.0
3,7.0,1105.0,1.0
4,1.0,2330.0,0.0
4,1.0,2311.0,1.0
4,2.0,2330.0,0.0
4,2.0,2311.0,1.0
4,3.0,2311.0,1.0
4,3.0,2330.0,0.0
4,4.0,2311.0,1.0
4,4.0,2330.0,0.0
4,5.0,2330.0,0.0
4,5.0,2311.0,1.0
4,7.0,2330.0,0.0
4,7.0,2305.0,1.0
6,1.0,720.0,1.0
6,1.0,2315.0,0.0
6,2.0,2315.0,0.0
6,2.0,720.0,1.0
6,3.0,720.0,1.0
6,3.0,2315.0,0.0
6,4.0,2315.0,0.0
6,4.0,720.0,1.0
6,5.0,720.0,1.0
6,5.0,2315.0,0.0
6,6.0,2340.0,0.0
6,6.0,1000.0,1.0
6,7.0,2315.0,0.0
6,7.0,1100.0,1.0
