Id,Day,Hour,Action
1,Sunday,2306,1
2,Sunday,2330,0
3,Monday,2300,1
4,Monday,2310,0
5,Tuesday,2330,1
6,Tuesday,2340,0
7,Wednesday,2200,1
8,Wednesday,2300,0
9,Thursday,1900,1
10,Thursday,2115,0
11,Saturday,2140,1
12,Saturday,2215,0
13,Sunday,2306,1
14,Sunday,2330,0
15,Monday,2300,1
16,Monday,2310,0
17,Tuesday,2330,1
18,Tuesday,2340,0
19,Wednesday,2200,1
20,Wednesday,2300,0
21,Thursday,1900,1
22,Thursday,2115,0
23,Saturday,2140,1
24,Saturday,2215,0
25,Sunday,2306,1
26,Sunday,2330,0
27,Monday,2300,1
28,Monday,2310,0
29,Tuesday,2330,1
30,Tuesday,2340,0
31,Wednesday,2200,1
32,Wednesday,2300,0
33,Thursday,1900,1
34,Thursday,2115,0
35,Saturday,2140,1
36,Saturday,2215,0
37,Sunday,2306,1
38,Sunday,2330,0
39,Monday,2300,1
40,Monday,2310,0
41,Tuesday,2330,1
42,Tuesday,2340,0
43,Wednesday,2200,1
44,Wednesday,2300,0
45,Thursday,1900,1
46,Thursday,2115,0
47,Saturday,2140,1
48,Saturday,2215,0
